CID_1,CID_2,MCC,TC
CIDs00004261,CIDs46893585,-0.0014,0.180258
CIDs00004261,CIDs15953870,0.0217,0.245763
CIDs00004261,CIDs46244173,-0.0012,0.2383179999999999
CIDs00004261,CIDs46244453,-0.0007,0.233945
CIDs00004261,CIDs00001805,0.0224,0.169811
CIDs00004261,CIDs46836568,-0.0007,0.2164179999999999
CIDs00004261,CIDs49846579,0.042,0.231034
CIDs00004261,CIDs46930996,-0.0014,0.150376
CIDs00004261,CIDs67970189,-0.0007,0.19898
CIDs00004261,CIDs11327430,-0.0064,0.186869
CIDs00004261,CIDs00003310,-0.0069999999999999,0.130631
CIDs00004261,CIDs56973724,0.0093,0.234375
CIDs00004261,CIDs00003385,0.0826,0.14876
CIDs00004261,CIDs09933475,0.0355,0.23913
CIDs00004261,CIDs05311497,0.0804,0.201258
CIDs00004261,CIDs24856436,0.0329,0.24
CIDs00004261,CIDs44381568,-0.001,0.346821
CIDs00004261,CIDs00002719,0.0677,0.2424239999999999
CIDs00004261,CIDs76321032,-0.0007,0.251256
CIDs00004261,CIDs56946894,-0.0007,0.253807
CIDs00004261,CIDs00064780,0.0163,0.267943
CIDs00004261,CIDs00001690,0.0834,0.154167
CIDs00004261,CIDs10368812,-0.001,0.203252
CIDs00004261,CIDs10163178,0.0327,0.232673
CIDs00004261,CIDs00123631,0.0738,0.205405
CIDs00004261,CIDs11375205,0.0411,0.220513
CIDs00004261,CIDs46224759,-0.0015,0.2808989999999999
CIDs00004261,CIDs00104741,0.0823,0.1097559999999999
CIDs00004261,CIDs00005376,0.0756,0.1448279999999999
CIDs00004261,CIDs74767926,-0.001,0.319767
CIDs00004261,CIDs51039095,-0.0034,0.31694
CIDs00004261,CIDs16720766,0.1325,0.304348
CIDs00004261,CIDs23725625,0.0574,0.233696
CIDs00004261,CIDs44199317,-0.001,0.234973
CIDs00004261,CIDs11625818,0.0531,0.2171949999999999
CIDs00004261,CIDs17755052,0.0403,0.233607
CIDs00004261,CIDs00447654,-0.004,0.277778
CIDs00004261,CIDs44449126,-0.0007,0.276042
CIDs00004261,CIDs56649450,-0.0049,0.1958329999999999
CIDs00004261,CIDs44137675,-0.0023,0.365169
CIDs00004261,CIDs54751698,-0.004,0.254237
CIDs00004261,CIDs16654980,0.0308,0.265306
CIDs00004261,CIDs25033539,0.0352,0.2464449999999999
CIDs00004261,CIDs49867926,-0.0035,0.343434
CIDs00004261,CIDs58423153,-0.0012,0.1990289999999999
CIDs00004261,CIDs00176166,0.0815,0.259804
CIDs00004261,CIDs11519784,-0.0012,0.209091
CIDs00005311,CIDs11955716,0.0399,0.131148
CIDs00005311,CIDs49800198,-0.0011,0.192547
CIDs00005311,CIDs76317450,0.0509,0.176101
CIDs00005311,CIDs25227436,0.0219,0.263158
CIDs00005311,CIDs24964624,0.0643,0.161491
CIDs00005311,CIDs00148177,0.0693,0.202247
CIDs00005311,CIDs00093860,0.0077,0.2
CIDs00005311,CIDs11556711,0.0437,0.214815
CIDs00005311,CIDs25071599,-0.0016,0.1985289999999999
CIDs00005311,CIDs90667118,-0.0011,0.167702
CIDs00005311,CIDs00104842,0.0809,0.130081
CIDs00005311,CIDs10302451,0.0286,0.15847
CIDs00005311,CIDs11213558,0.0365,0.219251
CIDs00005311,CIDs03081361,0.0567,0.239726
CIDs00005311,CIDs11167602,0.0576,0.212903
CIDs00005311,CIDs56673688,0.0245,0.178378
CIDs00005311,CIDs00005515,0.0214,0.137652
CIDs00005311,CIDs72793174,0.0632,0.198925
CIDs00005311,CIDs24978538,0.0867,0.176955
CIDs00005311,CIDs10126189,0.0402,0.125628
CIDs00005311,CIDs11717001,0.0279999999999999,0.146893
CIDs00005311,CIDs42611257,0.0834,0.111702
CIDs00005311,CIDs70685869,-0.0011,0.232258
CIDs00005311,CIDs11656518,0.038,0.190476
CIDs00005311,CIDs11152667,0.0329,0.161458
CIDs00005311,CIDs25194865,0.018,0.180556
CIDs00005311,CIDs17754438,-0.0011,0.15508
CIDs00005311,CIDs11494412,0.0424,0.221429
CIDs00005311,CIDs11597571,0.0136,0.164894
CIDs00005311,CIDs24998177,0.0447,0.162921
CIDs00005311,CIDs25262792,0.0168,0.192982
CIDs00005311,CIDs00148191,-0.0025,0.16
CIDs00005311,CIDs06442177,0.1317,0.16092
CIDs00005311,CIDs45375953,0.0485,0.125654
CIDs00005311,CIDs11520894,0.0529,0.152632
CIDs00005311,CIDs11640390,0.0206,0.12426
CIDs00005311,CIDs45381890,0.0308,0.198953
CIDs00005311,CIDs56953069,-0.0016,0.2222219999999999
CIDs00005311,CIDs16659841,0.0451,0.117647
