CID_1,CID_2,MCC,TC,combo,pair_label,Pearson,Spearman,Kendall,Pearson_class,Spearman_class,Kendall_class,DACS,random_number
CIDs56677003,CIDs58423153,-0.0001,0.176259,CIDs56677003_CIDs58423153,0.0,0.5211794133673622,0.7,0.6,1.0,1.0,1.0,0.1762590283673435,0.5177935014123795
CIDs56677003,CIDs00176166,0.1311,0.203571,CIDs56677003_CIDs00176166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2421329429074036,0.0703769627696843
CIDs56677003,CIDs11519784,-0.0001,0.21831,CIDs56677003_CIDs11519784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2183100229032098,0.9677863175285274
CIDs00148195,CIDs00003461,-0.0008,0.156118,CIDs00148195_CIDs00003461,0.0,-0.1291329371423065,-0.4,-0.3333333333333334,-1.0,-1.0,-1.0,0.1561200497181576,0.5324734809701169
CIDs00148195,CIDs49867930,-0.0019,0.230453,CIDs00148195_CIDs49867930,0.0,0.6089599459715408,0.5714285714285715,0.4999999999999999,1.0,1.0,1.0,0.2304608322665697,0.14394579778639394
CIDs00148195,CIDs00004261,0.0185,0.219048,CIDs00148195_CIDs00004261,0.0,0.2559654650950088,0.4333333333333333,0.3333333333333333,1.0,1.0,1.0,0.2198278333241721,0.07315383001526143
CIDs00148195,CIDs00005311,0.0644,0.202247,CIDs00148195_CIDs00005311,0.0,-0.18983399669238,-0.2666666666666666,-0.1666666666666666,-1.0,-1.0,-1.0,0.2122527008285171,0.427549699001022
CIDs00148195,CIDs11955716,0.0484,0.186275,CIDs00148195_CIDs11955716,0.0,0.4801907039070729,0.5,0.3888888888888889,1.0,1.0,1.0,0.1924602182919888,0.3108967721952368
CIDs00148195,CIDs49800198,-0.0003,0.292576,CIDs00148195_CIDs49800198,0.0,-0.7435922282504407,-0.5,-0.4,-1.0,-1.0,-1.0,0.2925761538061501,0.7246813763248352
CIDs00148195,CIDs76317450,-0.0006,0.293333,CIDs00148195_CIDs76317450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2933336136364191,0.4892463522459902
CIDs00148195,CIDs25227436,0.0297,0.339367,CIDs00148195_CIDs25227436,0.0,0.1467897158729958,-0.0166666666666666,-0.0555555555555555,1.0,-1.0,-1.0,0.3406641317911236,0.33172169652037176
CIDs00148195,CIDs24964624,0.099,0.281938,CIDs00148195_CIDs24964624,0.0,-0.0009485415421822,0.0,0.0,-1.0,0.0,0.0,0.2988143835962386,0.5404970696999796
CIDs00148195,CIDs00148177,0.0739,0.116402,CIDs00148195_CIDs00148177,0.0,0.6552894061326794,0.7142857142857144,0.6190476190476191,1.0,1.0,1.0,0.1378790615140674,0.3281707430152232
CIDs00148195,CIDs00093860,-0.002,0.32093,CIDs00148195_CIDs00093860,0.0,0.2340390126209197,0.0666666666666666,0.0555555555555555,1.0,1.0,1.0,0.3209362318280689,0.6458407011479493
CIDs00148195,CIDs11556711,0.0154,0.270142,CIDs00148195_CIDs11556711,0.0,0.0527073504061993,0.0166666666666666,0.0,1.0,1.0,0.0,0.2705805982771122,0.6386264665230681
CIDs00148195,CIDs25071599,-0.0005,0.208145,CIDs00148195_CIDs25071599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2081456005420244,0.2864178958136072
CIDs00148195,CIDs90667118,-0.0003,0.216667,CIDs00148195_CIDs90667118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2166672076918886,0.7630443078265181
CIDs00148195,CIDs00104842,0.0052,0.277592,CIDs00148195_CIDs00104842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2776407003016669,0.01742765537647961
CIDs00148195,CIDs10302451,0.0137,0.201521,CIDs00148195_CIDs10302451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2019861466561506,0.7032767585645587
CIDs00148195,CIDs11213558,-0.0052,0.207273,CIDs00148195_CIDs11213558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2073382177240848,0.3004888662838322
CIDs00148195,CIDs03081361,0.0721,0.244541,CIDs00148195_CIDs03081361,0.0,0.8916593127503529,0.8999999999999998,0.7999999999999999,1.0,1.0,1.0,0.2549484471045078,0.9747901933299166
CIDs00148195,CIDs11167602,0.0425,0.286344,CIDs00148195_CIDs11167602,0.0,0.6071829436495331,0.2857142857142857,0.1428571428571428,1.0,1.0,1.0,0.2894808047798679,0.11607726181243117
CIDs00148195,CIDs56673688,-0.0006,0.229008,CIDs00148195_CIDs56673688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2290087859973935,0.6716911935005621
CIDs00148195,CIDs00005515,-0.0012,0.25817,CIDs00148195_CIDs00005515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2581727888449904,0.8262138829652411
CIDs00148195,CIDs72793174,-0.0005,0.215613,CIDs00148195_CIDs72793174,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2156135797416294,0.032143163615403925
CIDs00148195,CIDs24978538,0.0136,0.25,CIDs00148195_CIDs24978538,0.0,-0.0197063613096103,0.2833333333333333,0.1666666666666666,-1.0,1.0,1.0,0.2503696467226009,0.5280849489951227
CIDs00148195,CIDs10126189,0.0127,0.261538,CIDs00148195_CIDs10126189,0.0,0.363403961373586,0.1833333333333332,0.1111111111111111,1.0,1.0,1.0,0.2618461675182587,0.8389147125711639
