CID_1,CID_2,MCC,TC,Kendall
CIDs00148195,CIDs11519784,-0.0006,0.188406,0.0
CIDs00003461,CIDs49867930,-0.0007,0.175115,-1.0
CIDs00003461,CIDs00004261,-0.0017,0.184358,0.0
CIDs00003461,CIDs00005311,-0.0027,0.164384,-0.06666666666666665
CIDs00003461,CIDs11955716,-0.0004,0.118644,-0.06666666666666665
CIDs00003461,CIDs49800198,-0.0001,0.1886789999999999,0.1933333333333333
CIDs00003461,CIDs76317450,-0.0002,0.1990289999999999,-0.4285714285714286
CIDs00003461,CIDs25227436,-0.0006,0.266332,-0.029885057471264367
CIDs00003461,CIDs24964624,-0.0011,0.247475,-0.1625615763546798
CIDs00003461,CIDs00148177,-0.001,0.151724,0.33333333333333337
CIDs00003461,CIDs00093860,-0.0008,0.148325,-0.3333333333333334
CIDs00003461,CIDs11556711,-0.0011,0.204301,-0.2
CIDs00003461,CIDs25071599,-0.0002,0.192513,0.0
CIDs00003461,CIDs90667118,-0.0001,0.180952,0.0
CIDs00003461,CIDs00104842,-0.0019,0.202847,0.0
CIDs00003461,CIDs10302451,-0.0012,0.230769,0.0
CIDs00003461,CIDs11213558,-0.002,0.21519,0.049999999999999996
CIDs00003461,CIDs03081361,-0.0015,0.255208,0.18681318681318684
CIDs00003461,CIDs11167602,-0.0009,0.13242,0.6666666666666669
CIDs00003461,CIDs56673688,-0.0002,0.168067,0.23809523809523814
CIDs00003461,CIDs00005515,-0.0004,0.204947,0.014705882352941175
CIDs00003461,CIDs72793174,-0.0002,0.174274,-0.38181818181818183
CIDs00003461,CIDs24978538,-0.0012,0.164983,0.11688311688311688
CIDs00003461,CIDs10126189,-0.0012,0.20339,-1.0
CIDs00003461,CIDs11717001,-0.0007,0.200913,0.0
CIDs00003461,CIDs42611257,-0.0016,0.154506,-0.27472527472527475
CIDs00003461,CIDs70685869,-0.0001,0.2425739999999999,0.1310344827586207
CIDs00003461,CIDs11656518,-0.0009,0.2380949999999999,-0.06666666666666665
CIDs00003461,CIDs11152667,-0.0008,0.123016,0.33333333333333337
CIDs00003461,CIDs25194865,-0.0003,0.210526,0.6666666666666669
CIDs00003461,CIDs17754438,-0.0012,0.210526,-0.3333333333333334
CIDs00003461,CIDs11494412,-0.0006,0.166667,0.0
CIDs00003461,CIDs11597571,-0.0008,0.245536,-0.12380952380952381
CIDs00003461,CIDs24998177,-0.0001,0.224771,0.0
CIDs00003461,CIDs25262792,-0.0005,0.245283,0.08064516129032259
CIDs00003461,CIDs00148191,-0.0003,0.2232559999999999,-0.3333333333333334
CIDs00003461,CIDs06442177,-0.002,0.2242989999999999,0.057416925176321465
CIDs00003461,CIDs45375953,-0.0007,0.267281,-0.6666666666666669
CIDs00003461,CIDs11520894,-0.0009,0.197425,0.0
CIDs00003461,CIDs11640390,-0.0006,0.207729,0.0
CIDs00003461,CIDs45381890,-0.0002,0.214286,0.0
CIDs00003461,CIDs56953069,-0.0002,0.2171949999999999,-0.33333333333333337
CIDs00003461,CIDs16659841,-0.0008,0.2094239999999999,0.2
CIDs00003461,CIDs11707110,-0.0011,0.283333,0.042328042328042326
CIDs00003461,CIDs10127622,-0.0014,0.213675,0.2338709677419355
CIDs00003461,CIDs16719221,-0.0005,0.184314,0.06666666666666665
CIDs00003461,CIDs67161792,-0.0002,0.241546,-0.14285714285714285
CIDs00003461,CIDs73294313,-0.0001,0.155172,-0.046153846153846156
CIDs00003461,CIDs15951529,-0.0008,0.157407,0.0
CIDs00003461,CIDs46893585,-0.0002,0.181452,0.0
CIDs00003461,CIDs15953870,-0.001,0.1428569999999999,0.0
CIDs00003461,CIDs46244173,-0.0002,0.199153,0.0
CIDs00003461,CIDs46244453,-0.0001,0.21097,0.007575757575757577
CIDs00003461,CIDs00001805,-0.0004,0.545455,-0.3333333333333333
CIDs00003461,CIDs46836568,-0.0001,0.1428569999999999,0.13978494623655915
CIDs00003461,CIDs49846579,-0.0008,0.201923,-0.08530809519467862
CIDs00003461,CIDs46930996,-0.0002,0.117241,-0.3333333333333334
CIDs00003461,CIDs67970189,-0.0001,0.15,0.42857142857142855
CIDs00003461,CIDs11327430,-0.0011,0.165899,-0.2941176470588236
CIDs00003461,CIDs00003310,-0.0012,0.190265,0.17647058823529413
CIDs00003461,CIDs56973724,-0.0007,0.363636,0.0
CIDs00003461,CIDs00003385,-0.0044,0.217054,0.0
CIDs00003461,CIDs09933475,-0.0013,0.217822,1.0
CIDs00003461,CIDs05311497,-0.0013,0.179941,-0.07692307692307693
CIDs00003461,CIDs24856436,-0.0009,0.237736,0.6666666666666669
CIDs00003461,CIDs44381568,-0.0002,0.2184469999999999,0.14285714285714288
CIDs00003461,CIDs00002719,-0.0026,0.181818,0.1619047619047619
CIDs00003461,CIDs76321032,-0.0001,0.191964,0.0
CIDs00003461,CIDs56946894,-0.0001,0.193694,0.21720430107526886
CIDs00003461,CIDs00064780,-0.0005,0.219828,-0.057416925176321465
CIDs00003461,CIDs00001690,-0.0002,0.199187,0.17647058823529413
CIDs00003461,CIDs10368812,-0.0002,0.212355,0.0
CIDs00003461,CIDs10163178,-0.0005,0.230415,-0.07142857142857142
CIDs00003461,CIDs00123631,-0.0029,0.2422679999999999,0.08870967741935486
CIDs00003461,CIDs11375205,-0.0002,0.24878,-0.027956989247311832
CIDs00003461,CIDs46224759,-0.0003,0.1441859999999999,0.21428571428571427
CIDs00003461,CIDs00104741,-0.0027,0.162791,-0.03296703296703297
CIDs00003461,CIDs00005376,-0.0034,0.121951,0.23636363636363636
CIDs00003461,CIDs74767926,-0.0002,0.2564099999999999,0.6428571428571428
CIDs00003461,CIDs51039095,-0.0006,0.177273,-0.07692307692307691
CIDs00003461,CIDs16720766,-0.0017,0.316327,0.3333333333333334
CIDs00003461,CIDs23725625,-0.0014,0.172249,0.1333333333333333
CIDs00003461,CIDs44199317,-0.0002,0.184466,0.14285714285714288
CIDs00003461,CIDs11625818,-0.0009,0.264317,-0.6666666666666669
CIDs00003461,CIDs17755052,-0.001,0.203774,0.13636363636363638
CIDs00003461,CIDs00447654,-0.0007,0.180952,0.0
CIDs00003461,CIDs44449126,-0.0001,0.179372,0.049999999999999996
CIDs00003461,CIDs56649450,-0.0009,0.155303,-0.21428571428571427
CIDs00003461,CIDs44137675,-0.0004,0.248804,-0.4248366013071896
CIDs00003461,CIDs54751698,-0.0007,0.1428569999999999,-0.07142857142857142
CIDs00003461,CIDs16654980,-0.001,0.237209,-0.21428571428571427
CIDs00003461,CIDs25033539,-0.0005,0.325472,0.6
CIDs00003461,CIDs49867926,-0.0006,0.178423,-1.0
CIDs00003461,CIDs58423153,-0.0002,0.1324789999999999,0.007246376811594203
CIDs00003461,CIDs00176166,-0.0009,0.141079,-0.3333333333333334
CIDs00003461,CIDs11519784,-0.0002,0.149798,0.0
CIDs49867930,CIDs00004261,0.0081,0.2473679999999999,0.2857142857142857
CIDs49867930,CIDs00005311,0.0009,0.242038,0.14285714285714285
CIDs49867930,CIDs11955716,-0.001,0.296512,0.2857142857142857
CIDs49867930,CIDs49800198,-0.0003,0.325359,0.39999999999999997
CIDs49867930,CIDs76317450,-0.0005,0.339901,0.0
CIDs49867930,CIDs25227436,-0.0015,0.3381639999999999,0.42857142857142855
CIDs49867930,CIDs24964624,0.0516,0.276995,0.07142857142857142
CIDs49867930,CIDs00148177,0.0996,0.0847458,0.23809523809523814
CIDs49867930,CIDs00093860,-0.0019,0.325,0.4999999999999999
CIDs49867930,CIDs11556711,0.0363,0.283505,-0.3571428571428571
CIDs49867930,CIDs25071599,-0.0004,0.2038829999999999,0.0
CIDs49867930,CIDs90667118,-0.0003,0.19214,0.0
CIDs49867930,CIDs00104842,0.0062,0.264808,0.0
CIDs49867930,CIDs10302451,0.015,0.155642,0.0
CIDs49867930,CIDs11213558,0.037,0.203846,0.0
CIDs49867930,CIDs03081361,0.1723,0.146552,0.9999999999999999
CIDs49867930,CIDs11167602,0.0218,0.21875,-0.2
CIDs49867930,CIDs56673688,-0.0005,0.257261,0.0
CIDs49867930,CIDs00005515,-0.0011,0.270833,0.0
CIDs49867930,CIDs72793174,-0.0004,0.278008,0.0
CIDs49867930,CIDs24978538,-0.0028,0.288194,-0.14285714285714285
CIDs49867930,CIDs10126189,0.0139999999999999,0.207031,0.0
CIDs49867930,CIDs11717001,-0.0016,0.190083,0.23809523809523814
CIDs49867930,CIDs42611257,0.0216,0.204918,0.0
CIDs49867930,CIDs70685869,-0.0003,0.346341,-0.6666666666666669
CIDs49867930,CIDs11656518,-0.0021,0.228448,0.6190476190476191
CIDs49867930,CIDs11152667,-0.002,0.257143,-0.3571428571428571
CIDs49867930,CIDs25194865,-0.0007,0.321244,-0.07142857142857142
CIDs49867930,CIDs17754438,0.0147,0.208835,0.5238095238095238
CIDs49867930,CIDs11494412,0.0682,0.299492,-0.14285714285714285
CIDs49867930,CIDs11597571,0.0235,0.2015809999999999,-0.07142857142857142
CIDs49867930,CIDs24998177,-0.0003,0.258621,0.0
CIDs49867930,CIDs25262792,-0.0013,0.301802,-0.3571428571428571
CIDs49867930,CIDs00148191,-0.0007,0.170732,-0.4999999999999999
CIDs49867930,CIDs06442177,0.026,0.171429,-0.2
CIDs49867930,CIDs45375953,-0.0018,0.190476,0.6428571428571428
CIDs49867930,CIDs11520894,0.0201,0.169231,-0.2857142857142857
CIDs49867930,CIDs11640390,0.0306,0.211454,0.0
CIDs49867930,CIDs45381890,-0.0004,0.2362199999999999,0.0
CIDs49867930,CIDs56953069,-0.0004,0.230126,0.0
CIDs49867930,CIDs16659841,-0.0019,0.1377779999999999,0.4999999999999999
CIDs49867930,CIDs11707110,0.017,0.242537,0.4666666666666666
CIDs49867930,CIDs10127622,0.0257,0.197674,0.14285714285714285
CIDs49867930,CIDs16719221,-0.0013,0.189091,0.23809523809523814
CIDs49867930,CIDs67161792,-0.0004,0.247788,0.0
CIDs49867930,CIDs73294313,0.1665,0.290749,0.0
